Name,ratings,Number of ratings,catagory,address,open 24 hrs,link,comments
Uttara Crescent Diagnostic & Consultation Center (Unit-2),3.9,43,Diagnostic center,"H No. 16, Hannan Complex, Rabindra Sarani",No,http://www.uchbd.com/,"""A good"
এটলাস হসপিটাল লিঃ,,,Hospital,V9RQ+R39,Yes,,
Popular Diagnostics Center Ltd. (Uttara Branch),3.6,166,Diagnostic center,"J. U. MOAR, HOUSE # 21 Rd 7",No,http://www.populardiagnostic.com/,"""The doctors at this"
সাফা ডেন্টাল কেয়ার,,,Hospital,"VC55+788, Shahid Latif Rd",,,
Holy care diagnostic center,,,Hospital,VCH4+RQ8,Yes,,
Asian Eye Care Centre,3.3,4,Hospital,"V99Q+PCR, Gausul Azam Ave",,,
WAIM Bangladesh Chapter,,,Medical Center,"7th floor, subastu ittehad square"", house-11 (6th and, রোড-০৫",,,
Doctors Chember,,,Hospital,"V9MP+3GQ, Sheikh Villa, Ranabhola Union: Horirampur, Thana:, Ranavola Main Rd",No,,
Organic Health,,,Hospital,9 Road-1,,,
"Rahima Begum Adhunik Hospital,Abdulahpur",,,Hospital,"V9VP+VGM, Abdullahpur Hwy",,,
Ark Hospital Limited,4,63,Hospital,"241/1 শাহ্‌কবির মাজার রোড Azampur, Dakkhin Khan, 220 Faidabad Main Rd",Yes,,"""Best hospital in this aria"""
Panjegana Masjid,4.3,3,Hospital,V996+J65,,,
হামদর্দ ল্যবরেটরীজ (ওয়াফ) বাংলাদেশ,,,Medical Center,"V9GV+67C, সড়ক নং-০২/এ",,,
Euro Healthcare Ltd,,,Medical Center,House-7 Road-14/C,,http://eurohealthcareltd.com/,
M/S Jakir Medical center,,,Medical Center,"V9MC+8C7, Unnamed Road",,,
আর- রাফিয়ু জেনারেল হাসপাতাল,5,1,Hospital,"২৩#১, শিশুমেলা, Mirpur Rd",Yes,,
Life Aid Family Vaccination,,,Medical Center,"House#25, Road #12, Sector#03, 2nd floor, Uttara. Dhaka 1230 Dhaka",No,,
KC Hospital & Diagnostic Center,3.6,87,Hospital,"2620, KC Plaza, Noapara, Shahid Latif Rd",Yes,,"""Largest hospital in Uttara, well equipped & qualified staff."""
Active Healthcare,,,Medical Center,38 Gareeb-e-Nawaz Ave,No,https://quicktelemed.com/,
কমফোর্ট ডায়াগনস্টিক সেন্টার এ্যান্ড ডক্টরস চেম্বার,3.9,23,Diagnostic center,22 Rabindra Sarani,,,
ABRAR DENTAL CARE,5,26,Hospital,House#2 road#10 Sector#14,No,,
"Ibn Sina Diagnostic & Consultation, Uttara (Building 3)",4.7,6,Diagnostic center,8 Road No. 12,,https://www.ibnsinatrust.com/Diagnostic_Consultation_Cente_uttara.php,
Unani And Ayurvedic Medical College & Hospital,3,1,Hospital,1221 Mirpur Rd,,,
সাপ্পোরো ডেন্টাল কলেজ এন্ড হসপিটাল,4.4,90,Hospital,"plot no 24, Sapporo Dental College & Hospital, 24 Pepar mill Road",No,http://sdch.edu.bd/,"""Nice dental hospital and College"""
Recovery Foundation drug addicion treatment center,5,41,Hospital,"house 76, 1230 Rd No 14",No,,
Maa Medical Hall,5,2,Medical Center,"VC85+43H, Farid Market, Middle Azampur, Uttara, Near Baitul Falah Jame Mosque",No,,
Ship Aichi Medical Service Ltd.,4.3,6,Hospital,V9VG+PGG,Yes,,
Rahman Dental Care,3.8,4,Hospital,"House: 9 (1st floor), Gareeb-e-Nawaz Ave",No,http://rahmandentalcare.com/,
DSPC Bangladesh,,,Hospital,"house, 02 Road-14/A",No,,
QuickMed,,,Medical Center,House-38 Gareeb-e-Nawaz Ave,,http://quicktelemed.com/,
Fatima General Hospital,3.9,18,Private hospital,"VCV3+42F, R301",Yes,,"""Fatima General Hospital is one of cheapest hospital in this area."""
SMB Pharma,,,Medical Center,"House-14,Block-B,Tarartech mosjid",,,
Dhaka Imperial Hospital,3.6,109,Hospital,Auchpara,Yes,http://imperialhospitalbd.org/,"""Good hospital, have different kind of doctors for various diseases."""
জুতা হসপিটাল,,,Hospital,"R9XQ+533, Unnamed Road",,,
ল্যাব এইড লিমিটেড (ডায়াগনস্টিক সেন্টার),4,4,Hospital,,,,"""This is a Diagnostic Center under Labaid Hospital."""
Prime General Hospital,3.3,16,Private hospital,"W97W+68C, Dhaka - Mymensingh Hwy",Yes,,"""The hospital is fairly well located along the main road"""
Dhaka Kings Hospital,5,3,Hospital,"VCV3+CCP, Tongi - Ghorashal Hwy",No,,
IBN Sina Specialized Hospital,4.3,799,Hospital,"H.No, 68 Rd Number 15",Yes,https://www.ibnsinatrust.com/,"""This specialised hospital provides all sort of surgery and transplantation."""
Dhanmondi Hospital (PVT) Ltd,3.3,13,Hospital,17 Green Rd,Yes,,
Gonoshasthaya Nagar Hospital,4.1,146,Hospital,"House No, 14/E Rd No. 6",Yes,http://www.gonoshasthayakendra.org/,"""And all good Hospital From this place is too close."""
Farabi General Hospital,3.3,27,General hospital,8 Rd No 14,No,,"""A private hospital in Dhanmondi area..Associated with best liver Doctors."""
Central Hospital Limited,4,606,General hospital,"House # 2 সড়ক নং ৫, Green Rd",Yes,http://www.centralhospitalltdbd.com/,"""10 storied hospital with one basement."""
জাপান বাংলাদেশ ফ্রেন্ডশিপ হাসপাতাল (Japan Bangladesh Friendship Hospital),3.9,320,Private hospital,"Bus Stand, 55 Satmasjid Road",Yes,https://www.facebook.com/JBFH.org.bd/,"""Nice hospital indeed but i seem it's more expensive to get treatment."""
Hospital 27 Plus,1.9,16,Hospital,"House# 16, Road# 16 Old 27/ Genetic Palaza Dhanmondi, Dhaka",Yes,,"""From security, cleaners, nurses and doctors everything here is fake."""
Ahmed Medical Center Limited,3.8,58,Hospital,"71/1, Satmasjid Road, Sankar Bus Stand er Kache",Yes,,
LABAID Cardiac Hospital,4,398,Specialized hospital,"House-01 & 03, রোড-০৪",Yes,http://www.labaidgroup.com/cardiac,"""The most disadvantageous thing is that the hospital is crowdy."""
Gonoshasthaya Nagar Hospital,3.8,8,Hospital,"Suite- DI, House No: 17/1, Shaptak Mahbuba Grandeur, Road No: 6, Dhanmondi R/A, Dhaka",,,"""This is best for low-cost best health services Hospital.good for all ..."""
"Marie Stopes Premium Maternity, Dhanmondi",3.9,36,Maternity hospital,"House-320, Road-8/A Keari Plaza are 300 yards ahead West, House-320 Rd 8/A",Yes,https://mariestopes.org.bd/,
Panorama Hospital,3.8,50,Hospital,"House no 16, Rd No. 8",,,"""Good hospital, little bit expensive but other facilities are good."""
Anwer Khan Modern Medical College Hospital,3.9,694,Private hospital,"house-17, Rd No. 8",Yes,http://akmmch.com/,"""I haven't seen anything like that in other hospitals."""
Eden Multi-Care Hospital,3.6,167,Hospital,753 Satmasjid Road,Yes,,"""Eden multi care hospital 🏥"""
Ibrahim General Hospital,4.8,17,General hospital,House 42 Rd 10/A,No,http://www.agbf.webs.com/,
Harun Eye Foundation Hospital,4,247,Hospital,"on, House no 12/A Road No. 5, Mirpur Rd",No,http://www.hefhbd.com/,"""Well known eye hospital"""
প্যানকেয়ার হসপিটাল লি:,4.2,24,Hospital,Rd 27,Yes,https://www.youtube.com/watch?v=G8oKfOI7mtU,"""The hospital environment is good."""
Popular Medical College Hospital,3.9,461,Hospital,"House # 25, 25 Road No. 2",Yes,http://www.pmch-bd.org/,"""Popular Medical College and Hospital is one of these few."""
Dhaka Paediatric-Neonatal & General Hospital Limited,4,42,Hospital,"Rangs Nilu Square, House# 75, Road no# 5/A, Satmasjid Road",Yes,,
The Ibn Sina Trust,4.4,195,Medical Center,"House# 48, Road# 9/A Satmasjid Road",No,http://www.ibnsinatrust.com/,"""reputed"
Women's And Children's General Hospital,3.8,65,Hospital,"House-48/6, Road-9/A, Satmasjid Road, Dhanmondi R/A, Satmasjid Road",Yes,https://www.facebook.com/wcgh.Hospital,"""It's not unhygienic yet not what we expect in modern hospital services."""
City Hospital & Diagnostic Center,3.8,328,Private hospital,"House No#1, 8 Satmasjid Road",Yes,http://www.cityhospitalbd.com/,"""A beautiful and good hospital."""
Labid besthospital Dhanmondi,5,1,Hospital,"P9RM+RRV, Green Square Road",No,http://labaidgroup.com/,
HR Clinical Research Center and Hospital (Proposed),,,Hospital,"House 180/A Road, 10/A Satmasjid Road",,,
M.S Endoscopy Centre,,,Hospital,১৬১/এ লেক সার্কাস ককলাবাগান ঢাকা -১২০৫,Yes,https://ms-endoscopy-centre.business.site/?utm_source=gmb&utm_medium=referral,
Best Doctor Organization,,,Hospital,"A, 10 Dhanmondi Lake Rd",No,,
Green Eye Hospital (গ্রীন আই হাসপাতাল),4.5,23,Hospital,"3rd Floor, Rupayan Khan Plaza, Rd No. 7",No,https://www.facebook.com/GreenEyeHospital/,
Renaissance Hospital & Research Institute Ltd.,3.6,45,Hospital,4/A Road No. 4A,Yes,,"""Hospitals facility seems good."""
Super Specialized Hospital (2),1,1,Hospital,79 Satmasjid Road,Yes,,
Popular Consultation Centre 2,3.3,26,Hospital,"House -2, 5 Road No. 2",Yes,https://www.populardiagnostic.com/,
Paedihope Hospital For Sick Children,2.5,6,Hospital,"House- 32A, Road- 6, Dhanmondi",Yes,,
Dr.kulsom,,,Hospital,IBN Sina Medical College and Hospital,,,
Bangladesh Medical College Hospital,4.1,857,Private hospital,Rd No. 14A,Yes,http://www.bmc-bd.org/,"""One of the most expensive hospitals in the country."""
Vision community Hospital,,,Hospital,"Bangladesh Eye Hospital, House- 78, Satmasjid Road",No,,
Long life Hospital Limited,3.8,30,Hospital,"Q92H+3P7, Mirpur Rd",Yes,http://www.longlifehospital.org/,"""Beautiful and helpful
Dr. Kaisar Rahman MD of this hospital is very kinds."""
D SUN HOSPITAL,,,Hospital,"Road: 3, House: 3, Shop: 4 (2nd floor) Dhanmondi",,,
marketing,,,Hospital,1205 Green Rd,,,
Bangladesh Retired Govt. Employees Medical Centre & Diagnostic Center,4.3,46,Hospital,"House#75/A, Road# 5/A Dhanmondi, Satmasjid Road",No,http://brgewa.com/,"""This Hospital we get good treatment at low cost!!"""
Millennium Heart & General Hospital Ltd.,3.7,28,General hospital,"4, 9 Zakir Hossain Road",Yes,,
Comfort Diagnostic Centre Pvt. Ltd.,4,312,Hospital,"Comfort Tower, 167/B Green Rd",Yes,http://www.comfortbd.com/,"""There are also doctors chamber, hospital which have emergency section."""
Liver Gastric Colorectal Specialized Hospital,5,1,Hospital,"P9RF+RG3, Satmasjid Road",Yes,,
Dhanmondi General And Kidney Hospital Limited,3.6,33,Hospital,"City Tower, 44/7 Panthapath",Yes,https://dhanmondigeneralhospital.com/,"""Thank you, Dhanmondi General and Kidney Hospital!"""
The Medical Center,3.9,11,Private hospital,"shatmasjid road (near kfc), CONSULTATION OF GASTROENTEROLOGY",Yes,,
Bangladesh ENT Hospital,3.9,197,Specialized hospital,"4/1-A Sobhanbag, Mirpur Road Navana Newbury place(3rd floor) Opposite to, Dhaka",Yes,,"""Hospital Has many Facilities!& Has A Excellent environment!"""
supermax healthcare limited,5,5,Private hospital,"Genetic Plaza(5th Floor), House No. 16, Road: 16 27 Old",Yes,,"""Nice hospital 🏥 but I think I wish 🤔 it's improvement day by day"""
Sankar hospital,,,Hospital,P9WF+FP6,,,
Prime Bank Eye Hospital,4,53,Hospital,"House # 82, Road No. 8A(New), Satmosjid Road, Dhanmondi",No,http://www.primebankeyehospital.org/,"""Open to all eye hospital."""
Bangladesh Eye Care Hospital Ltd,4,37,Hospital,21/3 Zigatola,No,http://www.zigatola.bdeyehospital.com/,"""Private eye hospital,  zigatola"""
Dhanmondi AKI laboratory,,,Hospital,P9WF+FP6,,,
Reneca Hospital,4.3,3,Hospital,4 Road No. 4A,,,"""Hospital is beside the highway
Lift available."""
Anwer Khan Modern Hospital - Specialized Mother & Children Unit,,,Hospital,House - 22 Road - 8,Yes,,
New Life Hospital Limited,3.4,50,Hospital,25/A Green Rd,Yes,https://new-life-hospital-limited.business.site/?utm_source=gmb&utm_medium=referral,"""Good hospital for green road area living people."""
Bangladesh Eye Hospital & Institute,4.1,452,Hospital,78 Satmasjid Road,No,https://bdeyehospital.com/,"""One of the best eye hospital in Bangladesh"""
The liver centre,3.6,8,Medical Center,"Dhanmondi 8/A, Dhaka",,,
Anwer Khan Modern Cancer Hospital,4,2,Hospital,"House 20, Road 7, 7 Mirpur Rd",,,
Anuar Hospital,2.8,7,Hospital,P9WG+HCJ,,,
Delta Hospital Limited,4,9,Hospital,"26/2, Principal, Abul Kashem Rd",Yes,http://www.delta-hospital.com/,"""Big Delta Hospital good service Very beutifull place"""
Popular Diagnostic Centre Ltd.,3.7,502,Diagnostic center,House # 16 Road No. 2,No,https://www.populardiagnostic.com/,"""Its a huge"
Sultan ambulance service,5,3,Hospital,ibn Sina hospitals,No,,
"Ibn Sina Medical Imaging Center, Zigatola.",4.2,117,Medical diagnostic imaging center,"House #58, Road 2#A Zigatola Bus Stand",No,http://www.ibnsinatrust.com/,"""Well known"
Md Rezaya Rabbi Reza,,,Hospital,Shankar Bus Stand,No,,
Dr. Jhumu Khan's Laser Medical Center | Dhanmondi,4.3,6,Medical Center,"Dr. Jhumu Khan's Laser Medical Center Ltd, Khan's, ABC Tradeplex Road-2",No,http://lasermedicalbd.com/,
ধানমন্ডি ক্লিনিক (প্রাঃ) লিঃ,3.3,43,Hospital,61 Green Rd,Yes,,"""Good Private Hospital at Green Road."""
SIBL Foundation Hospital,3.5,21,Hospital,"Fattah Plaza, পান্থপথ, 70 Green Rd",Yes,,"""Most affordable and highly equipped hospital in this area."""
Green Life Medical College Hospital,3.8,986,Private hospital,"MAK Khan Tower, 31 and 31/1 Bir Uttam Shafiullah Sarak, Green Rd",Yes,http://greenlife.edu.bd/,"""In fact This hospital provides good food to all."""
Universal Hospital and Medical College,4.1,24,Hospital,23 Green Rd,,,"""A modern hospital in Green road."""
American Center of Regenerative Health,4.2,6,Medical Center,"House 8/A, 12 Razzaque Villa, Ka 14 Dhanmondi 13",,http://acrhbd.com/,
Ibn Sina Diagnostic and Imaging Center (Dhanmondi 9A),4.2,505,Medical diagnostic imaging center,House 48 Rd No 9A,No,http://www.ibnsinatrust.com/,"""This"
Square Hospitals Ltd.,4.1,"2,099",Hospital,"18 Bir Uttam Qazi Nuruzzaman Sarak West, Panthapath",Yes,https://www.squarehospital.com/,On-site services
Medinova Medical Services Ltd.,4,204,Medical clinic,"House 71/A, Road 5/A, Dhanmondi R/A",Yes,http://www.medinovamedicalbd.com/,"""This is a private hospital with all kind of facilities!"""
Bismillah Dental Home,5,1,Hospital,161 Lake Circus (Abed Dhali Road),No,,
BRB Hospitals Limited,3.8,664,Hospital,77/A Panthapath,Yes,http://www.brbhospital.com/,"""Thirdly, the hospital's facilities are state-of-the-art and modern."""
Bangladesh Cosmetic Surgery,1,1,Hospital,"House 8, Road 14 Sobhanbag Rd",No,http://www.cosmeticsurgery.com.bd/,
Health and Hope Hospital,3.9,205,Hospital,"152/2/G Green Road, Panthapath",Yes,http://www.healthandhopebd.net/,"""I wish every man get a good hospitality theit."""
Manob Hospital,,,Hospital,"41, 1 Green Rd",Yes,,
Northern International Medical College,3.9,7,Medical school,84 Rd 8/A,,,"""A good medical center and"
"Emergency Department, Bangladesh Medical Hospital",4.4,5,Medical clinic,14/A,Yes,,"""Emergency buildings Bangladesh medical College hospital"""
Green Life Hospital Ltd.,5,11,Private hospital,"Bir Uttam, 32, Green Road, KM Shafiullah Sarak",Yes,https://www.greenlifehospital.com.bd/,"""Best hospital for poor patients"""
Al Noor Eye Hospital,4.1,174,Hospital,"1, 9 Satmasjid Road",No,http://www.alnooreyehospital.com/,"""Very much popular eye hospital."""
Medix,4.8,8,Diagnostic center,62 Satmasjid Road,No,https://medix.uhslbd.com/,"""Nice neat"
STS Life Care Center,5,3,Diagnostic center,"House No-3, Level-3, Sima Blossom, Road No-16, Dhanmondi",No,,"""Owner"
BACC Women’s & Children Hospital (Pvt.) Ltd.,1.7,9,Private hospital,69/R Panthapath,Yes,,
"Platinum Hospital Limited, Panthapath,Dhaka",4.6,10,Hospital,Panthapath,,,"""New Hospital, Good for low ans mid budget patients."""
Eastern Care Hospital Limited,3.4,10,Hospital,"7/3,Gate, 2 Block # A",Yes,,"""Inside of hospital is not good."""
Prof Dr Md Ehteshamul Hoque,,,Private hospital,"Labaid Cancer Hospital And Super Speciality Center, 26 Green Rd",No,https://drehtesham.com/,
Dhaka Medical Care,4,2,Hospital,"69/B, 5th Floor, Monowara Plaza, Panthapath",Yes,,
Dr. Ratan Clinic,,,Private hospital,"69 P-Q, Ground Floor, Green Road, Panthapath",Yes,,
Nobojatok-Shishu & General Hospital,,,Children's hospital,"4/4-A, 1207 Block-E",Yes,,
Modern Diagonistic Center - Dhanmondi,3.8,20,Diagnostic center,House # 17 Rd No. 8,Yes,http://www.akmmc.edu.bd/,
SsHealthcarebd,,,Hospital,"Concept Tower, Green Rd",,,
Salauddin Specialized Hospital Ltd.,3.6,236,Hospital,"44/A, Hatkhola Rd",Yes,,"""Its more like Bangladesh Medical college & Hospital."""
Relife Medical Center,4.8,5,Hospital,"4th Floor, Sayed Ashraf Bhavan, H- 42/1 Rd No. 5",No,https://relife-medical-center.business.site/?utm_source=gmb&utm_medium=referral,
লেজার আথরইটিজ হসপিটা,,,Hospital,"Q92P+M76, Panthapath",,,
বাংলাদেশ আই কেয়ার হাসপাতাল,,,Community health centre,"২১, ৩ জিগাতলা রোড",,,
Dhaka,,,Hospital,2 Katasur Rd,,,
Shaheed Suhrawardy Medical College and Hospital,4.2,"1,476",Government hospital,,Yes,http://www.shsmc.gov.bd/,"""All Kinds of patients get service from this hospital."""
LABAID SPECIALIZED HOSPITAL,,,Hospital,"2nd Floor, House-06 Rd 04",,,
Holy Family Red Crescent Medical College Hospital,4.1,561,Private hospital,1 Eskaton Garden Rd,Yes,http://www.hfrcmc.edu.bd/,"""At all it is a neaten clean Hospital."""
Square Hospital Extension Building,3,2,Private hospital,"Q92P+M76, Bir Uttam Kazi Nuruzzaman Rd",,,
Green road bakhtiar kamal skin center,,,Hospital,22 Indira Rd,,,
Lab One Research Institute of Haematology & Hospital,5,2,Private hospital,"165-166, Paril Green Apartment, Green Rd",No,http://www.lorihh.labone.org.bd/,"""Haematology based hospital and research Institute."""
"Dolfin Hospital & Infertility Centre (DHIC), Kamrangirchar",5,541,Hospital,"Kathpotti, কাঠপট্টি, Kamrangirchar",Yes,https://www.dolfinhospitalbd.com/,"""Finally, I am more happy for All service at hospital..."""
Bangabandhu Sheikh Mujib Medical University Hospital,4.4,"1,839",Government hospital,·,Yes,http://www.bsmmu.edu.bd/,"""Huge buildings all around the hospital with proper security system."""
Life & Care Hospital Ltd.,3.5,53,Hospital,"P9J5+67G, Sadarghat - Gabtoli Rd",Yes,http://www.lifeandcarehospitals.com/,"""Life and Care Hospital."""
Shebika General Hospital & Diagnostic Center,2,4,Hospital,68/K Sonargaon Bhaban,,,
Bangladesh Critical Care and General Hospital Ltd,4.6,5,Hospital,"2/8-A Road, 3 Block # A",,,"""New hospital, more to improve."""
সততা ডায়াগনস্টিক এন্ড কনসালটেশন সেন্টার,4,3,Private hospital,P9FP+MQ8,No,,
Liberty Hospital Ltd.,,,Hospital,"2/8, Motaleb Tower",Yes,,
Nurjahan orthopedics and General Hospital,3.6,7,Hospital,"Rupayan Shelford, 23/6, Mirpur Rd",,,
Dhaka Central International Medical College & Hospital (DCIMCH),3.9,339,Private hospital,"2, 1 Ring Rd",Yes,http://dcimch.com/,"""Very nice hospital and collage"""
Shefa Hospital & Diagnostic Center,4.3,13,Private hospital,"Q9F7+GWX, Khilji Rd",Yes,,"""The doctor of the hospital are good"""
250 Beded E-TB and chestdiseases Hospital and one stop TB service centre,4.4,104,Government hospital,Shyamoli,Yes,,"""Hole hospital net and clean."""
DR. AZMAL HOSPITAL LTD.,3.8,132,Private hospital,Plot 5 Rd No. 4,Yes,http://azmalhospital.com/,"""Local good hospital for emergency health need."""
Step rehabilitation Center(স্টেপ রিহ্যাবিলিটেশন সেন্টার),4,1,Hospital,"24, 14 Khilji Rd",No,,
Mary Orthopedic General Hospital and Diagnosis Center,3.5,2,Hospital,Q9H9+7VP,No,,
amiodoctor,,,Private hospital,"2, 1 Ring Rd",,,
Bangladesh Specialized Hospital,3.3,888,Private hospital,21 Mirpur Rd,Yes,http://www.bdspecializedhospital.com/,"""All types of facilities available in this hospital."""
Labaid Dental Clinic,3.2,11,Dental clinic,"P9RM+J6X, Mirpur Rd",No,http://labaidgroup.com/specialized/dental,
Hitech Multicare Hospital ltd,3.8,301,Private hospital,164 E Kafrul Rd,Yes,https://hitech-hospital.com/,"""Regular operations of all departments are done here."""
Ashiq spelalista Hospital,,,Hospital,Q9F8+6R3,Yes,,
Badda General Hospital Pvt. Ltd.,3.8,102,Hospital,"QCHG+MHV, 107/2, Uttar Badda, Progoti Sarani",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
AMZ Hospital Ltd.,4.2,176,Hospital,Yes,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""A good combination of all kind of doctors & medical services."""
"AIMS Hospital Ltd, Merul Badda",3.8,26,Hospital,"House No. 4, Pragoti Sarani Rd No 11",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""That was good, it's not A grade hospital with all facilities but you may ..."""
Al Sami Hospital,3.4,37,Hospital,Adarsh Nagar Rd,No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Dogma Hospital Ltd.,3.6,26,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""All of the boys and young people are shown here."""
H.A.F General Hospital,3.2,34,Hospital,QCQG+575,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""After all quite good"""
"Shastho Sheba Kendro , Badda (সাস্থ্য সেবা কেন্দ্র , বাড্ডা)",4.5,12,Hospital,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
The Concept Home Health Care agency,5,1,Hospital,"88/A, Comilla Para Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"BRAC MATERNITY CENTER (BMC),BADDA, DHAKA",,,Maternity hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
SRS Clinic,5,6,Private hospital,"QCJH+8M5, Adarsh Nagar Rd",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
A Emdad Hospital,,,Hospital,QCJG+6M7,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
AMF Eye Hospital,4,4,Hospital,"Ta - 136, Gulshan Badda Link Rd",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Dhaka Healthcare Systems Hospital,5,2,Hospital,"08, House # 07, Road, 100 Feet Madani Ave",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Upasham Health Point-Pvt Ltd.,3.8,48,Hospital,Open now,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""... and I loved their behaviour, service quality and almost everything."""
"Dhaka Islamia Eye Hospital, Badda",5,1,Hospital,"GA-95, Shoinik Bhaban, 5 Gulshan Badda Link Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
East wast medical hospital,,,Hospital,"QCJF+WCR, DHasB",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
নিউ পপুলার মেডিকেল সার্ভিসেস,3.2,5,Hospital,Open,,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Kabiraj Bari,5,1,Private hospital,"02, House 28, North 1212 Abdullahbag Masjid Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Hia - হিয়া,,,Hospital,Baridhara J Block,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
People's Eye Hospital,4.5,6,Hospital,Hossain Market,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"Nari Maitree, PHCC-5, Tetultola, Uttor Badda, Dhaka",,,Hospital,"Sha-72,, Sha-72 Tatultola Rd",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"এস,এস ক্লিনিক",,,Hospital,55 Post Office Rd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Robi,,,Hospital,"QCGF+GGP, Unnamed Road",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Help Hospital,,,Hospital,Yes,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Proposed Hospital,,,Hospital,MA 33/C Bir Uttam Rafiqul Islam Ave,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Madani Hospital Ltd.,5,9,Hospital,1016 Vhatara Rd,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
"পপুলার ডায়গনস্টিক সেন্টার লিমিটেড, বাড্ডা",3.7,103,Diagnostic center,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""A decent"
Ibn Sina Diagnostic & Consultation Center (Badda),4.2,241,Diagnostic center,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""The road are always jam outside the"
Medicine Pius,,,Hospital,QCRG+X3M,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
M. Rahman Medical & Diagnostic Center,,,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
Dhaka New Lions Eye Hospital,3.8,19,Hospital,QCGG+R96,Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,"""Most needed eye hospital for Badda area."""
mita clinic,,,Hospital,1212 Madhya Badda Bazar Rd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
East wast medical collagehospital,,,Hospital,F-120 Matabbar Rd,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
বারিধারা সমবায় সমিতি লিঃ,,,Hospital,QCWH+3Q9,,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Arabian Medical Center,3.8,17,Medical Center,Closed,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,
LABAID Diagnostic Badda,3.8,49,Diagnostic center,Open,·,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_24dp.png,"""It's  a nice"
পূর্ব পূয়ালি কমিনিটি কিল্নিক কালকিনি মাদারিপুর,,,Hospital,"QCHH+PH3, Unnamed Road",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
ইউনিটি এইড হাসপাতাল লিঃ,1,1,Hospital,"D-1,2, Main Road,South",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Urban Health Center,5,1,Maternity hospital,"298, Shadhinota Shoroni, North",,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
Al-Sami Hospital Collection Booth,4,2,Blood testing service,"P-2/2, South Badda, Badda",No,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
The New Hope,5,2,Hospital,"72/7, Lake View Road, House 7, Road 3/b",Yes,https://maps.gstatic.com/consumer/images/icons/1x/ic_directions_gm_blue_24px.png,
